config	experiment	group	mazeFile	numEpisodes	numStartingPositions	pc_files	independent_pcs	pc_modulation_method	pc_modulation_distance	pc_generation_radii	pc_generation_method	pc_generation_threshold	pc_generation_active_layers_only	pc_activate_only_visible	save_pcs	traces	run_id
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	7
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	8
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	9
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	10
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	11
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	12
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	13
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	14
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	15
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	16
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	17
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	18
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.002	false	true	true	0	19
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	0
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	1
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	2
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	3
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	4
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	5
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	6
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	7
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	8
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	9
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	66000	22	experiments/pc_layers/empty.csv	false	none	subgoal	0.08	layer	0.003	false	true	true	0	10
