x,y,r
-1.1,-1.5,0.52
-0.55,-1.5,0.52
0.0,-1.5,0.52
0.55,-1.5,0.52
1.1,-1.5,0.52
-1.1,-1.0,0.52
-0.55,-1.0,0.52
0.0,-1.0,0.52
0.55,-1.0,0.52
1.1,-1.0,0.52
-1.1,-0.5,0.52
-0.55,-0.5,0.52
0.0,-0.5,0.52
0.55,-0.5,0.52
1.1,-0.5,0.52
-1.1,0.0,0.52
-0.55,0.0,0.52
0.0,0.0,0.52
0.55,0.0,0.52
1.1,0.0,0.52
-1.1,0.5,0.52
-0.55,0.5,0.52
0.0,0.5,0.52
0.55,0.5,0.52
1.1,0.5,0.52
-1.1,1.0,0.52
-0.55,1.0,0.52
0.0,1.0,0.52
0.55,1.0,0.52
1.1,1.0,0.52
-1.1,1.5,0.52
-0.55,1.5,0.52
0.0,1.5,0.52
0.55,1.5,0.52
1.1,1.5,0.52
