config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.7	70000
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.457142857142857,0.9786666666666666	1.457142857142857,1.4213333333333333	13,3	0.7,0.7	70000
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.24,0.16	-1.0050000000000001,-0.11000000000000001	1.0050000000000001,0.31000000000000005	7,3	-1.4236363636363636,0.9786666666666666	1.4236363636363636,1.4213333333333333	10,3	0.7,0.7	70000
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.28,0.16	-0.9857142857142858,-0.11000000000000001	0.9857142857142858,0.31000000000000005	6,3	-1.424,0.9786666666666666	1.424,1.4213333333333333	9,3	0.7,0.7	70000
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.32,0.16	-1.0142857142857145,-0.11000000000000001	1.0142857142857145,0.31000000000000005	6,3	-1.456,0.9786666666666666	1.456,1.4213333333333333	9,3	0.7,0.7	70000
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.36,0.16	-0.9733333333333334,-0.11000000000000001	0.9733333333333334,0.31000000000000005	5,3	-1.395,0.9786666666666666	1.395,1.4213333333333333	7,3	0.7,0.7	70000
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.4,0.16	-1.0,-0.11000000000000001	1.0,0.31000000000000005	5,3	-1.4249999999999998,0.9786666666666666	1.4249999999999998,1.4213333333333333	7,3	0.7,0.7	70000
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.44,0.16	-0.924,-0.11000000000000001	0.924,0.31000000000000005	4,3	-1.3857142857142857,0.9786666666666666	1.3857142857142857,1.4213333333333333	6,3	0.7,0.7	70000
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.48,0.16	-0.9480000000000001,-0.11000000000000001	0.9480000000000001,0.31000000000000005	4,3	-1.4142857142857141,0.9786666666666666	1.4142857142857141,1.4213333333333333	6,3	0.7,0.7	70000
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.52,0.16	-0.972,-0.11000000000000001	0.9720000000000001,0.31000000000000005	4,3	-1.4428571428571428,0.9786666666666666	1.4428571428571428,1.4213333333333333	6,3	0.7,0.7	70000
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.56,0.16	-0.9960000000000001,-0.11000000000000001	0.9960000000000001,0.31000000000000005	4,3	-1.4714285714285715,0.9786666666666666	1.4714285714285715,1.4213333333333333	6,3	0.7,0.7	70000
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.7	70000
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.457142857142857,0.9786666666666666	1.457142857142857,1.4213333333333333	13,3	0.7,0.7	70000
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16	-1.0050000000000001,-0.11000000000000001	1.0050000000000001,0.31000000000000005	7,3	-1.4236363636363636,0.9786666666666666	1.4236363636363636,1.4213333333333333	10,3	0.7,0.7	70000
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16	-0.9857142857142858,-0.11000000000000001	0.9857142857142858,0.31000000000000005	6,3	-1.424,0.9786666666666666	1.424,1.4213333333333333	9,3	0.7,0.7	70000
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16	-1.0142857142857145,-0.11000000000000001	1.0142857142857145,0.31000000000000005	6,3	-1.456,0.9786666666666666	1.456,1.4213333333333333	9,3	0.7,0.7	70000
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16	-0.9733333333333334,-0.11000000000000001	0.9733333333333334,0.31000000000000005	5,3	-1.395,0.9786666666666666	1.395,1.4213333333333333	7,3	0.7,0.7	70000
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16	-1.0,-0.11000000000000001	1.0,0.31000000000000005	5,3	-1.4249999999999998,0.9786666666666666	1.4249999999999998,1.4213333333333333	7,3	0.7,0.7	70000
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16	-0.924,-0.11000000000000001	0.924,0.31000000000000005	4,3	-1.3857142857142857,0.9786666666666666	1.3857142857142857,1.4213333333333333	6,3	0.7,0.7	70000
